No LEAGUE,YEAR,No WEEK,No TEAM1,No TEAM2,GOALTEAM1,GOALTEAM2,CODEWID
1,1987,1,2,16,2,0,W1
1,1987,1,31,10,1,1,D
1,1987,1,7,1,3,1,W1
1,1987,1,4,3,0,0,D
1,1987,1,8,14,3,2,W1
1,1987,1,43,25,4,1,W1
1,1987,1,17,6,3,0,W1
1,1987,1,26,12,4,0,W1
1,1987,1,45,53,0,0,D
1,1987,1,20,9,3,1,W1
1,1987,2,16,31,3,0,W1
1,1987,2,10,7,1,3,W2
1,1987,2,1,4,3,0,W1
1,1987,2,3,8,1,3,W2
1,1987,2,14,43,2,0,W1
1,1987,2,25,17,2,1,W1
1,1987,2,6,45,1,0,W1
1,1987,2,53,12,2,2,D
1,1987,2,20,26,1,0,W1
1,1987,2,9,2,4,1,W1
1,1987,3,12,6,1,1,D
1,1987,3,2,20,2,0,W1
1,1987,3,7,16,2,0,W1
1,1987,3,4,10,2,1,W1
1,1987,3,8,1,2,0,W1
1,1987,3,43,3,0,0,D
1,1987,3,17,14,1,0,W1
1,1987,3,45,25,0,1,W2
1,1987,3,26,53,1,1,D
1,1987,3,31,9,1,0,W1
1,1987,4,16,4,2,2,D
1,1987,4,10,8,1,0,W1
1,1987,4,1,43,1,1,D
1,1987,4,3,17,2,1,W1
1,1987,4,14,26,2,1,W1
1,1987,4,25,12,2,3,W2
1,1987,4,6,53,1,1,D
1,1987,4,2,45,0,0,D
1,1987,4,20,31,1,0,W1
1,1987,4,9,7,2,1,W1
1,1987,5,53,25,2,1,W1
1,1987,5,31,2,1,2,W2
1,1987,5,7,20,5,1,W1
1,1987,5,4,9,0,0,D
1,1987,5,8,16,2,2,D
1,1987,5,43,10,2,0,W1
1,1987,5,17,1,1,1,D
1,1987,5,45,3,1,1,D
1,1987,5,26,6,1,1,D
1,1987,5,12,14,2,0,W1
1,1987,6,2,7,0,1,W2
1,1987,6,31,12,2,1,W1
1,1987,6,25,6,3,1,W1
1,1987,6,14,53,0,0,D
1,1987,6,3,26,1,1,D
1,1987,6,1,45,1,0,W1
1,1987,6,10,17,1,1,D
1,1987,6,16,43,1,1,D
1,1987,6,9,8,0,0,D
1,1987,6,20,4,0,1,W2
1,1987,7,53,1,0,0,D
1,1987,7,6,14,0,0,D
1,1987,7,7,31,1,3,W2
1,1987,7,4,2,1,3,W2
1,1987,7,8,20,2,2,D
1,1987,7,43,9,0,0,D
1,1987,7,17,16,0,0,D
1,1987,7,45,10,4,1,W1
1,1987,7,26,25,1,2,W2
1,1987,7,12,3,2,1,W1
1,1987,8,2,8,1,0,W1
1,1987,8,31,4,2,0,W1
1,1987,8,7,26,2,0,W1
1,1987,8,14,25,2,0,W1
1,1987,8,3,6,1,0,W1
1,1987,8,1,12,5,1,W1
1,1987,8,10,53,2,1,W1
1,1987,8,16,45,3,2,W1
1,1987,8,9,17,3,1,W1
1,1987,8,20,43,1,0,W1
1,1987,9,53,16,2,0,W1
1,1987,9,6,1,5,0,W1
1,1987,9,25,3,1,0,W1
1,1987,9,4,7,1,1,D
1,1987,9,8,31,1,0,W1
1,1987,9,43,2,1,0,W1
1,1987,9,17,20,2,0,W1
1,1987,9,45,14,1,0,W1
1,1987,9,26,9,1,0,W1
1,1987,9,12,10,2,1,W1
1,1987,10,2,17,1,3,W2
1,1987,10,31,43,2,1,W1
1,1987,10,7,8,1,0,W1
1,1987,10,4,26,1,0,W1
1,1987,10,3,14,0,1,W2
1,1987,10,1,25,2,0,W1
1,1987,10,10,6,1,2,W2
1,1987,10,16,12,1,1,D
1,1987,10,9,53,6,1,W1
1,1987,10,20,45,2,1,W1
1,1987,11,53,3,1,0,W1
1,1987,11,6,16,2,0,W1
1,1987,11,25,10,0,1,W2
1,1987,11,14,1,3,1,W1
1,1987,11,8,4,3,3,D
1,1987,11,43,7,0,0,D
1,1987,11,17,31,0,1,W2
1,1987,11,45,9,4,0,W1
1,1987,11,26,2,2,0,W1
1,1987,11,12,20,2,0,W1
1,1987,12,2,12,3,0,W1
1,1987,12,31,45,3,0,W1
1,1987,12,7,17,1,0,W1
1,1987,12,4,43,1,0,W1
1,1987,12,8,26,1,0,W1
1,1987,12,1,3,0,1,W2
1,1987,12,10,14,2,0,W1
1,1987,12,16,25,2,1,W1
1,1987,12,9,6,0,0,D
1,1987,12,20,53,0,0,D
1,1987,13,53,2,2,1,W1
1,1987,13,6,20,3,1,W1
1,1987,13,25,31,1,0,W1
1,1987,13,14,16,1,0,W1
1,1987,13,3,10,2,0,W1
1,1987,13,43,8,0,1,W2
1,1987,13,17,4,0,0,D
1,1987,13,45,7,0,2,W2
1,1987,13,26,1,0,2,W2
1,1987,13,12,9,2,1,W1
1,1987,14,2,6,0,2,W2
1,1987,14,31,53,2,2,D
1,1987,14,7,12,2,1,W1
1,1987,14,4,45,2,1,W1
1,1987,14,8,17,1,0,W1
1,1987,14,43,26,3,0,W1
1,1987,14,10,1,2,4,W2
1,1987,14,16,3,1,2,W2
1,1987,14,9,14,1,0,W1
1,1987,14,20,25,2,0,W1
1,1987,15,53,7,1,0,W1
